Date,close,adj_close,high,low,open,vol,rsi,macd
2021-03-31,1.1932640075683594,1.1932640075683594,1.213675022125244,1.1677199602127075,1.213675022125244,3190463749.0,,
2021-04-01,1.189244031906128,1.189244031906128,1.2077189683914185,1.1841299533843994,1.1935529708862305,2309789364.0,,
2021-04-02,1.1965090036392212,1.1965090036392212,1.2459150552749634,1.1876070499420166,1.1892080307006836,2909026267.0,,
2021-04-03,1.1732770204544067,1.1732770204544067,1.2441829442977903,1.1716350317001345,1.1963260173797607,3355350115.0,,
2021-04-04,1.1914199590682983,1.1914199590682983,1.1997480392456057,1.1662789583206177,1.1729730367660522,2166855014.0,,
2021-04-05,1.2143000364303589,1.2143000364303589,1.2267459630966189,1.1765120029449463,1.1915520429611206,2992739340.0,,
2021-04-06,1.2553540468215942,1.2553540468215942,1.3408950567245483,1.1953890323638916,1.214279055595398,6301229657.0,,
2021-04-07,1.1751489639282229,1.1751489639282229,1.291087031364441,1.1651179790496826,1.255457043647766,4771395490.0,,
2021-04-08,1.2194360494613647,1.2194360494613647,1.2237930297851562,1.1731560230255127,1.1761319637298584,2315835365.0,,
2021-04-09,1.2035399675369265,1.2035399675369265,1.2289799451828003,1.1949310302734375,1.219454050064087,1678933674.0,,
2021-04-10,1.2187579870224,1.2187579870224,1.2519199848175049,1.1963109970092771,1.2035330533981323,2481275569.0,,
2021-04-11,1.266734957695007,1.266734957695007,1.292286992073059,1.200775980949402,1.2183589935302734,3636786443.0,,
2021-04-12,1.3161269426345823,1.3161269426345823,1.3465880155563354,1.2654739618301392,1.2662060260772705,4918248258.0,,
2021-04-13,1.4117859601974487,1.4117859601974487,1.437677025794983,1.2837929725646973,1.3148950338363647,5896543066.0,,
2021-04-14,1.4554200172424316,1.4554200172424316,1.5577609539031982,1.3530060052871704,1.4109989404678345,9596107541.0,76.47058823529412,
2021-04-15,1.4815880060195925,1.4815880060195925,1.494799017906189,1.4153929948806765,1.4538040161132812,5337358369.0,77.87234042553192,
2021-04-16,1.4169490337371826,1.4169490337371826,1.5189839601516724,1.339908003807068,1.479627013206482,5692183858.0,69.0165361183638,
2021-04-17,1.3848689794540403,1.3848689794540403,1.456151008605957,1.3680590391159058,1.413843035697937,4058018560.0,65.03417095994112,
2021-04-18,1.275501012802124,1.275501012802124,1.397696018218994,1.098976969718933,1.3861809968948364,7454680286.0,52.966005495294475,
2021-04-19,1.1979589462280271,1.1979589462280271,1.3223869800567627,1.174247980117798,1.2780050039291382,5665978235.0,46.244835608784335,
2021-04-20,1.2659339904785156,1.2659339904785156,1.2806930541992188,1.1306469440460205,1.1946090459823608,4855633658.0,51.98609792919805,
2021-04-21,1.2067350149154663,1.2067350149154663,1.286463975906372,1.200816035270691,1.2677350044250488,4078624182.0,47.32082166227222,
2021-04-22,1.147017002105713,1.147017002105713,1.2774440050125122,1.1175990104675293,1.2039010524749756,4693396293.0,43.15057785985794,
2021-04-23,1.155701994895935,1.155701994895935,1.1655759811401367,0.9352269768714904,1.145823955535889,7196378408.0,44.035801272450854,
2021-04-24,1.101354956626892,1.101354956626892,1.1962840557098389,1.096959948539734,1.158782958984375,3566224272.0,40.6292109164495,
